[LAST,FIRST NFL POS,BYE]
Harkey,Cory STL TE,4
Harper,Chris GBP WR,9
Harris,Clark CIN TE,4
Harris,Demetrius KCC TE,6
Harris,DuJuan GBP RB,9
Harris,Dwayne DAL WR,11
Harris,Marcus NYG WR,8
Harrison,Mark KCC WR,6
Hartley,Garrett FA PK,0
Hartline,Brian MIA WR,5
Hartsock,Ben FA TE,0
Harvey,Mario IND RB,10
Harvin,Percy SEA WR,4
Hasselbeck,Matt IND QB,10
Hauschka,Steven SEA PK,4
Havili,Stanley IND RB,10
Hawkins,Andrew CLE WR,4
Hawkins,Charles NOS WR,6
Hawkins,Lavelle FA WR,0
Hazel,Matt MIA WR,5
Helu,Roy WAS RB,10
Hemingway,Junior KCC WR,6
Henderson,Devery FA WR,0
Henery,Alex PHI PK,7
Henne,Chad JAC QB,11
Herron,Dan IND RB,10
Herron,Robert TBB WR,7
Hester,Devin ATL WR,9
Hewitt,Ryan CIN RB,4
Heyward0Bey,Darrius PIT WR,12
Hill,Jeremy CIN RB,4
Hill,Josh NOS TE,6
Hill,Michael GBP RB,9
Hill,Sammie Lee TEN DT,9
Hill,Shaun STL QB,4
Hill,Stephen NYJ WR,11
Hilliard,Lex FA RB,0
Hillis,Peyton NYG RB,8
Hillman,Ronnie DEN RB,4
Hilton,TY IND WR,10
Hixon,Domenik FA WR,0
Hocker,Zach WAS PK,10
Hoffman,Cody WAS WR,10
Hogan,Chris BUF WR,9
Holliday,Trindon NYG WR,8
Holmes,Andre OAK WR,5
Holmes,Santonio CHI WR,9
Hoomanawanui,Michael NEP TE,10
Hopkins,DeAndre HOU WR,10
Hopkins,Dustin BUF PK,9
Hoskins,Gator MIA TE,5
Housler,Robert ARI TE,4
Houston,Stephen PIT RB,12
Hoyer,Brian CLE QB,4
Huff,Josh PHI WR,7
Huff,Marqueston TEN S,9
Hughes,Kofi CHI WR,9
Hunter,Justin TEN WR,9
Hunter,Kendall SFO RB,8
Hurns,Allen JAC WR,11
Hyde,Carlos SFO RB,8
Hynoski,Henry NYG RB,8
Ingram,Mark NOS RB,6
